id,name,slug,city,state,fees_min,fees_max,rating,ranking,placements_avg,exams,top_course,established,ownership,image_url,
30,Shiv Nadar University,snu,Greater Noida,Uttar Pradesh,300000,400000,4.2,24,900000,SNUSAT,B.Tech CSE,2011,Private,https://example.com/snu.jpg,
31,Jamia Millia Islamia,jmi,Delhi,Delhi,20000,80000,4.5,15,800000,JEE Main,B.Tech CSE,1920,Govt,https://example.com/jmi.jpg,
32,Aligarh Muslim University,amu,Aligarh,Uttar Pradesh,20000,70000,4.4,18,700000,AMUEEE,B.Tech CSE,1920,Govt,https://example.com/amu.jpg,
33,IIEST Shibpur,iiest,Shibpur,West Bengal,80000,150000,4.3,20,800000,JEE Main,B.Tech CSE,1856,Govt,https://example.com/iiest.jpg,
34,NIT Calicut,nit-calicut,Calicut,Kerala,150000,200000,4.4,12,1200000,JEE Main,B.Tech CSE,1961,Govt,https://example.com/nitc.jpg,
35,NIT Rourkela,nit-rourkela,Rourkela,Odisha,150000,200000,4.5,11,1300000,JEE Main,B.Tech CSE,1961,Govt,https://example.com/nitr.jpg,
36,NIT Jaipur,nit-jaipur,Jaipur,Rajasthan,150000,200000,4.3,14,1000000,JEE Main,B.Tech CSE,1963,Govt,https://example.com/nitj.jpg,
37,IIIT Delhi,iiit-delhi,Delhi,Delhi,300000,400000,4.6,13,1800000,JEE Main,B.Tech CSE,2008,Govt,https://example.com/iiitd.jpg,
38,IIIT Allahabad,iiit-allahabad,Allahabad,Uttar Pradesh,200000,300000,4.5,10,1500000,JEE Main,B.Tech CSE,1999,Govt,https://example.com/iiita.jpg,
39,MIT WPU,mit-wpu,Pune,Maharashtra,200000,300000,4.2,26,800000,MIT Entrance,B.Tech CSE,1983,Private,https://example.com/mitwpu.jpg,
40,Sastra University,sastra,Thanjavur,Tamil Nadu,200000,300000,4.3,23,900000,SASTRA Entrance,B.Tech CSE,1984,Private,https://example.com/sastra.jpg,
41,Kalasalingam University,kalasalingam,Krishnankoil,Tamil Nadu,150000,250000,4.1,29,700000,Entrance,B.Tech CSE,1984,Private,https://example.com/kalasalingam.jpg,
42,PSG Tech,psg,Coimbatore,Tamil Nadu,100000,200000,4.5,17,1000000,TNEA,B.Tech CSE,1951,Private,https://example.com/psg.jpg,
43,KJ Somaiya,kj-somaiya,Mumbai,Maharashtra,250000,350000,4.3,21,900000,MHT CET,B.Tech CSE,1959,Private,https://example.com/kj.jpg,
44,DAIICT,daiict,Gandhinagar,Gujarat,200000,300000,4.5,19,1200000,JEE Main,B.Tech CSE,2001,Private,https://example.com/daiict.jpg,
45,Nirma University,nirma,Ahmedabad,Gujarat,200000,300000,4.3,22,900000,GUJCET,B.Tech CSE,2003,Private,https://example.com/nirma.jpg,
46,PDPU,pdpu,Gandhinagar,Gujarat,200000,300000,4.2,24,800000,GUJCET,B.Tech CSE,2007,Private,https://example.com/pdpu.jpg,
47,Sathyabama University,sathyabama,Chennai,Tamil Nadu,200000,300000,4.1,28,700000,Entrance,B.Tech CSE,1987,Private,https://example.com/sathyabama.jpg,
48,REVA University,reva,Bangalore,Karnataka,200000,300000,4,30,700000,REVA Entrance,B.Tech CSE,2012,Private,https://example.com/reva.jpg,
49,Christ University,christ,Bangalore,Karnataka,200000,300000,4.2,27,800000,Entrance,B.Tech CSE,1969,Private,https://example.com/christ.jpg,
50,Jain University,jain,Bangalore,Karnataka,200000,300000,4.1,29,700000,Entrance,B.Tech CSE,1990,Private,https://example.com/jain.jpg,
